ex_mm,ey_mm,ez_mm
110.76943,144.65439,187.6437
254.15623,8.267689,102.50783
170.99652,111.13856,177.97949
150.02272,14.042864,205.46716
257.5674,75.30413,69.53676
83.1403,218.83832,146.07617
42.75147,40.368347,161.00655
223.72377,40.21785,129.178
59.906708,51.4902,215.0136
245.25836,81.580055,150.2352
17.337053,33.569126,202.16724
64.5127,201.56566,158.35991
86.77977,230.9466,126.78534
75.40218,77.356445,205.78302
97.28657,133.5759,218.1096
164.94005,39.67093,175.20052
277.32614,45.614002,61.05788
179.69623,112.0828,205.91414
17.454655,72.48017,198.86624
205.84375,91.17879,153.27576
187.40326,192.2482,99.9348
281.0999,55.237896,86.56047
204.93231,56.658676,204.99805
94.0265,28.64197,216.89368
184.59193,129.39186,295.9461
116.97169,240.31375,160.01465
142.99747,171.61328,166.42003
17.741442,31.438871,285.43042
156.42513,162.34573,16.745113
83.00676,128.69246,21.879286
28.499275,1.9157407,255.01585
119.98983,88.47176,182.89394
61.734737,181.50526,147.07922
21.772749,180.99234,150.7234
25.565445,284.53204,132.02846
4.393831,148.35516,242.4981
108.72253,297.8285,53.408646
9.993311,49.032776,207.56505
17.8845,195.16725,197.96118
29.233437,156.53079,71.742546
43.411892,82.241684,201.21921
167.00034,193.85904,145.46844
218.53474,5.705866,48.888474
202.38864,168.4885,11.262759
134.57742,263.7322,27.887613
188.39648,43.526894,196.95636
111.42628,243.20465,43.038235
136.11606,142.48097,31.514824
204.1076,87.10183,57.758884
3.873445,193.97032,205.19179
248.51868,25.492487,139.12633
149.50182,103.97175,139.05653
13.59487,242.07065,95.53065
102.23688,49.465298,157.75874
21.645859,87.02465,246.99715
117.86597,220.56902,91.52017
216.98973,24.763535,131.86461
33.072517,25.440868,123.00035
97.08822,289.85736,23.223162
143.07475,200.91853,28.428816
228.42532,57.04495,61.286167
259.24417,171.4724,41.80977
169.26622,147.13065,118.509125
36.529243,50.241703,200.49355
221.99234,140.7967,202.97717
21.172401,349.83835,21.284462
2.5108829,234.76482,116.63806
154.17334,120.62603,134.29037
143.11682,72.40735,132.49019
251.44092,153.71669,76.783615
25.425278,5.645265,208.85062
280.23193,5.1268506,112.724655
10.716211,166.70769,196.29607
51.45727,208.1801,123.74994
89.42079,231.26506,156.41135
39.233044,3.7291117,234.81845
254.37502,48.456802,46.961205
155.66158,172.38966,152.06927
123.39185,266.034,49.862995
49.442574,175.08821,173.89908
21.898716,42.440086,233.11469
191.99356,174.00587,18.921345
65.76727,60.488583,174.25597
8.02856,37.01501,247.37268
45.737896,45.418716,272.20123
219.90044,102.112206,77.0173
105.64929,117.08506,130.01683
21.401026,254.94241,0.045225024
24.237179,173.09396,157.67747
14.368132,286.94684,59.46626
6.739341,288.4662,35.34503
109.04333,120.98698,151.09894
24.549362,236.7962,84.90379
167.98517,60.907997,175.14899
107.65359,41.74894,207.79324
39.627506,152.05124,156.60292
105.629074,76.87445,244.45659
152.69142,181.77068,215.37624
96.822975,45.780647,205.03253
283.58304,11.6400795,103.00014
