x,y,z,nx,ny,nz,ox,oy,oz,ax,ay,az
-0.06141502,0.15835384,0.32869095,0.59297734,0.7623131,-0.25933874,-0.6251184,0.23280899,-0.7450013,-0.5075479,0.6038863,0.6145864
0.32432044,1.6464412e-05,0.26828647,-0.42747897,-0.05214511,0.9025201,0.024176173,-0.99863744,-0.046247445,0.90370196,0.002049674,0.42815718
0.25688747,-0.10816071,-0.015475147,0.26874906,-0.925733,0.26606837,-0.91327584,-0.33268774,-0.23504482,0.30610645,-0.17982575,-0.9348591
0.25110272,0.012948087,0.3547464,-0.3503365,-0.80031127,0.48658633,0.5385297,-0.5971678,-0.5944547,0.7663225,0.053782,0.64020103
-0.17098783,0.03430847,0.18327169,0.17461553,-0.31077906,-0.93430495,-0.19477114,-0.9410354,0.27661633,-0.96518064,0.13367414,-0.2248502
0.13827932,0.23344143,0.301909,-0.09628739,-0.62209046,0.77700204,0.9727286,-0.22430535,-0.05904324,0.21101595,0.750127,0.626723
0.06739373,0.01698072,-0.040269826,0.95602715,-0.01716119,0.29277557,-0.22229198,-0.6935892,0.6852155,0.19130686,-0.7201663,-0.6669049
0.27919054,-0.04379018,0.2595772,-0.20795909,-0.94245464,0.26178667,0.04116256,-0.27583298,-0.9603238,0.977271,-0.18893225,0.09615582
-0.012009962,-0.04008564,0.37821427,-0.48669934,-0.7303244,-0.47932246,0.6934475,-0.65669215,0.2964557,-0.53127617,-0.18810016,0.82605326
0.31354704,-0.08072488,0.2831113,0.28184468,0.9587204,0.03766665,-0.601188,0.14586908,0.78568137,0.74775434,-0.24408486,0.6174836
0.08312317,-0.057177894,-0.0630427,-0.42899796,-0.7917566,-0.43483594,-0.90290093,0.3614483,0.23264778,-0.027029699,0.4924192,-0.8699383
0.1420089,-0.20005062,0.30912384,0.92469907,0.37265325,0.077853784,-0.20480394,0.31455728,0.9268814,0.32091588,-0.8730311,0.36719167
0.18908519,-0.19300196,0.049705014,-0.23879246,-0.8929869,0.3815136,-0.88506603,0.038493253,-0.4638711,0.3995451,-0.44843364,-0.7995442
0.0070015755,-0.11368829,-0.033869162,0.94193184,-0.3356638,-0.009706152,-0.33515537,-0.9379236,-0.08927605,0.020863112,0.08734503,-0.99595964
0.197746,-0.13740112,0.33985716,0.4038307,0.9035181,0.14344293,-0.8276486,0.29402235,0.4780676,0.3897673,-0.31177872,0.8665307
-0.12805714,0.040940784,-0.009355809,0.4685063,0.8802862,-0.07482001,0.79153526,-0.45586526,-0.40701202,-0.3923949,0.13146502,-0.91035336
0.33028433,-0.046374846,0.2278878,-0.18902537,0.079793245,0.9787249,-0.043231167,-0.9964029,0.07288507,0.9810201,-0.028534291,0.19179499
-0.09245172,0.10311099,0.3413971,0.41167143,0.90853256,-0.07138116,-0.8682833,0.36723116,-0.3335047,-0.2767865,0.19927342,0.9400422
0.11522537,-0.09677699,0.30852032,0.83545613,0.54601574,-0.062288214,-0.54461426,0.80743915,-0.22679801,-0.07354134,0.22340284,0.97194797
-0.1370992,0.08449377,0.29670295,-0.5678197,-0.8125799,-0.13150916,0.6198736,-0.52722156,0.5812006,-0.5416064,0.24849814,0.80306363
-0.109024875,0.2269283,0.21915652,0.4008993,0.49592793,-0.77028257,-0.73562586,-0.32686624,-0.5933069,-0.5460168,0.8044961,0.23377697
