ex_mm,ey_mm,ez_mm
248.40495,71.26231,169.57431
80.287704,138.93015,147.72058
69.47493,256.36917,22.976934
98.81647,544.56744,141.72523
421.18304,47.40026,320.75528
211.12323,110.09285,72.6458
175.65019,459.87268,45.017807
26.133572,402.18073,154.98117
218.26527,326.46686,243.01648
210.843,1.8854169,92.514694
150.90494,278.65677,159.47395
11.622026,247.41736,159.69293
81.02056,474.50714,19.794195
284.64453,52.309547,229.03601
226.91095,29.240042,202.81166
5.883135,250.95961,167.60368
332.34204,389.11505,298.1917
278.90213,468.85364,44.11566
106.55536,102.05621,12.413799
99.19526,74.18615,56.409748
200.75745,238.3575,88.70691
14.79946,447.42062,65.34577
364.3872,408.80402,306.78723
77.93424,392.5101,155.92719
103.547554,224.17986,285.6741
376.7538,143.87581,437.4871
196.12808,480.3594,193.39453
216.47595,394.51413,237.13504
13.048086,434.5765,94.01235
105.45412,387.1362,90.25374
46.20716,187.28331,185.55342
139.91824,261.7135,7.652819
212.22815,7.9372487,0.5798936
47.671646,229.05269,30.125633
57.410023,467.43536,162.44849
163.49849,86.540955,53.050995
31.579878,358.95242,179.30043
10.622568,281.19724,25.981993
247.89432,214.12263,283.82834
213.07938,310.0422,295.59476
30.02654,107.078865,215.26543
376.57993,236.46136,241.09303
47.82184,363.08408,113.401886
243.62057,26.044153,113.20975
26.303284,246.824,128.5055
185.69131,358.80173,91.77399
144.2819,574.7873,270.94507
35.439,375.8391,147.80527
43.221107,329.2873,55.402935
161.60071,372.00946,213.98822
228.97395,62.32274,241.37776
12.623798,259.7173,2.7383268
42.388916,244.52837,107.457535
392.61536,16.69328,383.7859
329.57288,179.21063,177.565
130.42972,441.23477,2.1803975
356.33344,384.36444,269.50653
198.07889,231.00867,35.963295
262.56625,281.3207,116.8525
25.266558,338.8951,117.07549
191.07686,0.539165,48.980625
68.252716,426.5663,25.457531
161.31969,405.31946,71.38337
277.4553,194.9986,76.40989
161.54889,337.03278,34.41447
134.64943,130.75674,58.570187
202.62651,15.986362,83.52744
117.20145,196.30525,179.86285
166.72906,456.98895,136.86281
101.45345,39.292736,69.4193
72.84797,353.8273,145.87761
158.50328,0.36941284,84.478615
261.6836,31.9915,131.51018
134.6311,352.1229,34.71957
232.66399,435.35764,273.6559
389.94974,198.8794,273.68256
135.88875,496.55765,7.9406204
163.87396,365.44333,84.27424
131.6673,352.91528,57.153374
320.73285,81.07289,157.52905
296.48395,107.60607,41.855038
391.79166,220.89336,264.93314
50.018036,216.78484,183.91238
224.89745,136.92322,238.8678
33.178753,565.09186,284.03735
43.053776,542.3008,44.847534
326.35892,415.68262,264.8158
227.94426,59.954823,105.08159
96.73072,338.13638,38.014053
150.99763,472.10138,19.851892
145.31578,55.751354,119.53084
108.383095,372.3343,4.8595963
397.69604,272.73624,318.15314
409.89853,262.22363,252.5529
110.81159,384.72903,36.8004
91.21362,404.67856,71.67009
122.26724,487.82318,13.883442
1.4281943,44.828625,234.54256
222.63264,29.40234,172.38684
114.98697,564.42474,98.92729
