x,y,z,nx,ny,nz,ox,oy,oz,ax,ay,az
0.12336212,0.0020810121,0.32004267,0.56369114,-0.56623596,-0.6013561,0.36679012,0.823924,-0.43198875,0.7400793,0.022936752,0.6721284
0.05688829,-0.2613837,0.24270022,0.9517769,0.19480632,0.23700473,-0.30331695,0.71344584,0.63165957,-0.04603876,-0.6730865,0.7381294
0.08554708,-0.22120427,0.15164894,0.2001154,0.6345989,0.7464838,-0.9793645,0.10758074,0.17108919,0.028265739,-0.7653173,0.64303225
0.033450786,0.28429425,0.091020286,-0.846892,-0.19684555,0.49398962,0.5150019,-0.072206624,0.85414237,-0.13246481,0.977772,0.16252704
-0.1394972,-0.052922785,-0.0030093067,0.09332885,-0.8516279,0.515771,-0.30303344,0.46915758,0.82949495,-0.9483989,-0.23371166,-0.21428579
-0.08712733,-0.1502767,0.09461586,0.66552466,-0.30676204,0.68042195,-0.3116668,0.71413064,0.6268024,-0.67818934,-0.6292174,0.379664
0.031601984,-0.1906403,0.12916465,0.48799568,0.5384783,0.68695074,-0.8577821,0.44144613,0.2633156,-0.16146202,-0.71775097,0.6773209
0.0662433,-0.19464916,0.1631974,0.31538284,0.71635056,0.62239504,-0.9485507,0.2573382,0.18446846,-0.02802194,-0.64855146,0.76065487
-0.026202887,-0.17275335,0.10897031,0.5411664,0.22521897,0.8101946,-0.7199494,0.62193966,0.30799985,-0.43452477,-0.7499783,0.49871913
0.08781842,0.0033125526,0.33784628,0.6978458,-0.45148915,-0.55602944,0.28050178,0.88657266,-0.36784193,0.6590372,0.10072969,0.74533457
-0.22116323,0.0099300705,0.10620751,0.034402125,-0.9143982,0.4033515,0.15522873,0.4035813,0.90167964,-0.98727936,0.03159205,0.15582493
-0.15476544,0.043633927,0.30225098,0.12722959,-0.97520447,0.18107696,0.8570586,0.19998157,0.4748241,-0.49926263,0.0947819,0.86125094
0.061242387,-0.19953512,0.14052267,0.39636052,0.64857084,0.6498109,-0.91710943,0.3124868,0.2475122,-0.042528134,-0.6940518,0.71866786
0.08533516,0.00039171462,0.34364435,0.7926459,-0.3329065,-0.5107698,0.2919435,0.9427216,-0.16138458,0.5352397,-0.021195073,0.84443426
-0.16703577,-0.16337699,0.16057438,0.65943426,-0.66400474,0.35248283,0.108620666,0.54811305,0.8293212,-0.74387366,-0.5085959,0.43356916
0.09199721,-0.20379902,0.14278443,0.33350572,0.6307853,0.700631,-0.94012094,0.16708055,0.2970804,0.070332125,-0.7577559,0.6487368
-0.05352398,-0.15374008,0.090188466,0.550552,-0.0010581177,0.8348002,-0.5949363,0.7010031,0.39324993,-0.5856136,-0.7131575,0.38530913
0.0016180079,-0.1809899,0.11087741,0.59017295,0.30546626,0.74725246,-0.74810195,0.55481035,0.36404523,-0.30337986,-0.7738707,0.555954
0.031056654,-0.16869302,0.33019838,0.9732713,0.22018269,0.06528853,-0.22709244,0.9650661,0.13067721,-0.03423489,-0.1420109,0.9892729
0.0083157085,-0.17964569,0.32542434,0.9954035,0.02129169,0.09337272,-0.043159556,0.97008544,0.23889647,-0.085493006,-0.24182832,0.9665454
